平成31年住民基本台帳人口・世帯数及び人口動態,人口（人）(男),人口（人）(女),人口（人）(計),世帯数（世帯）,住民票記載数（人）(転入者数)(国内),住民票記載数（人）(転入者数)(国外),住民票記載数（人）(転入者数)(国内外合計),住民票消除数（人）(出生者数),住民票記載数（人）(その他),住民票記載数（人）(計),住民票消除数（人）(転出者数)(国内),住民票消除数（人）(転出者数)(国外),住民票消除数（人）(転出者数)(国内外合計),住民票消除数（人）(死亡者数),住民票消除数（人）(その他)(計),住民票消除数（人）(計),増減数（人）,増減率,自然増減数（人）,自然増減率,社会増減数（人）,社会増減率
岡山市,"341,107","368,134","709,241","327,462","32,795","4,699","37,494","6,139",65,"43,698","34,219","1,473","35,692","6,915","1,038","43,645",53,0.01 ,-776,-0.11 ,829,0.12 
岡山市北区,"143,069","153,172","296,241","144,381","15,765","3,610","19,375","2,641",32,"22,048","17,240",833,"18,073","2,852",624,"21,549",499,0.17 ,-211,-0.07 ,710,0.24 
岡山市中区,"69,855","77,606","147,461","67,392","6,907",329,"7,236","1,390",13,"8,639","6,496",228,"6,724","1,377",111,"8,212",427,0.29 ,13,0.01 ,414,0.28 
岡山市東区,"45,526","50,046","95,572","41,337","3,356",324,"3,680",636,8,"4,324","3,518",142,"3,660","1,076",115,"4,851",-527,-0.55 ,-440,-0.46 ,-87,-0.09 
岡山市南区,"82,657","87,310","169,967","74,352","6,767",436,"7,203","1,472",12,"8,687","6,965",270,"7,235","1,610",188,"9,033",-346,-0.20 ,-138,-0.08 ,-208,-0.12 
倉敷市,"235,226","247,315","482,541","210,277","11,866","1,681","13,547","4,110",72,"17,729","12,990",572,"13,562","4,964",563,"19,089","-1,360",-0.28 ,-854,-0.18 ,-506,-0.10 
津山市,"48,606","52,880","101,486","45,134","2,976",144,"3,120",807,25,"3,952","3,235",157,"3,392","1,279",71,"4,742",-790,-0.77 ,-472,-0.46 ,-318,-0.31 
玉野市,"29,073","30,560","59,633","27,657","1,378",102,"1,480",331,29,"1,840","1,657",93,"1,750",862,53,"2,665",-825,-1.36 ,-531,-0.88 ,-294,-0.49 
笠岡市,"23,322","25,390","48,712","22,278","1,119",107,"1,226",211,19,"1,456","1,361",66,"1,427",791,64,"2,282",-826,-1.67 ,-580,-1.17 ,-246,-0.50 
井原市,"19,406","21,233","40,639","16,854",929,171,"1,100",216,4,"1,320","1,047",101,"1,148",633,60,"1,841",-521,-1.27 ,-417,-1.01 ,-104,-0.25 
