平成30年住民基本台帳人口・世帯数及び人口動態,人口（人）(男),人口（人）(女),人口（人）(計),世帯数（世帯）,住民票記載数（人）(転入者数)(国内),住民票記載数（人）(転入者数)(国外),住民票記載数（人）(転入者数)(国内外合計),住民票消除数（人）(出生者数),住民票記載数（人）(その他),住民票記載数（人）(計),住民票消除数（人）(転出者数)(国内),住民票消除数（人）(転出者数)(国外),住民票消除数（人）(転出者数)(国内外合計),住民票消除数（人）(死亡者数),住民票消除数（人）(その他)(計),住民票消除数（人）(計),増減数（人）,増減率,自然増減数（人）,自然増減率,社会増減数（人）,社会増減率
岡山市,"340,966","368,222","709,188","324,245","32,580","4,377","36,957","6,244",88,"43,289","33,779","1,392","35,171","6,594",988,"42,753",536,0.08,-350,-0.05,886,0.13
岡山市北区,"142,767","152,975","295,742","143,129","15,580","3,263","18,843","2,608",40,"21,491","17,079",821,"17,900","2,712",639,"21,251",240,0.08,-104,-0.04,344,0.12
岡山市中区,"69,641","77,393","147,034","66,578","7,116",471,"7,587","1,417",26,"9,030","6,472",210,"6,682","1,346",95,"8,123",907,0.62,71,0.05,836,0.57
岡山市東区,"45,806","50,293","96,099","40,966","3,346",265,"3,611",657,7,"4,275","3,295",154,"3,449","1,050",102,"4,601",-326,-0.34,-393,-0.41,67,0.07
岡山市南区,"82,752","87,561","170,313","73,572","6,538",378,"6,916","1,562",15,"8,493","6,933",207,"7,140","1,486",152,"8,778",-285,-0.17,76,0.04,-361,-0.21
倉敷市,"235,765","248,136","483,901","208,502","12,093","1,661","13,754","4,305",68,"18,127","12,615",554,"13,169","4,687",544,"18,400",-273,-0.06,-382,-0.08,109,0.02
津山市,"48,917","53,359","102,276","45,096","2,887",150,"3,037",823,22,"3,882","3,048",151,"3,199","1,301",68,"4,568",-686,-0.67,-478,-0.46,-208,-0.20
玉野市,"29,469","30,989","60,458","27,760","1,404",83,"1,487",349,23,"1,859","1,678",90,"1,768",804,55,"2,627",-768,-1.25,-455,-0.74,-313,-0.51
笠岡市,"23,683","25,855","49,538","22,406","1,171",112,"1,283",237,13,"1,533","1,456",62,"1,518",772,51,"2,341",-808,-1.60,-535,-1.06,-273,-0.54
井原市,"19,632","21,528","41,160","16,796",883,197,"1,080",194,7,"1,281",950,96,"1,046",612,76,"1,734",-453,-1.09,-418,-1.00,-35,-0.08
総社市,"33,359","35,227","68,586","27,061","2,450",170,"2,620",547,7,"3,174","1,919",121,"2,040",685,72,"2,797",377,0.55,-138,-0.20,515,0.76
高梁市,"15,066","16,207","31,273","14,563","1,038",117,"1,155",128,13,"1,296","1,274",153,"1,427",527,8,"1,962",-666,-2.09,-399,-1.25,-267,-0.84
新見市,"14,478","15,758","30,236","12,820",517,114,631,130,5,766,721,87,808,531,5,"1,344",-578,-1.88,-401,-1.30,-177,-0.57
